PHRASAL VERBS3;;;;;
english;;;espanol;;
verb;meaning;example;verbo;significado;ejemplo
take up;;;;empezar una actividad / ocupar espacio;
branches off;;he was deprived of his youth;;ir en otra direccion;
drop off;;I was sitting and I dropped off;;llevar a alguien a un sitio / caer rendido;
mark down;;;;dar un resultado más bajo en un examen;
cope with;;;;Tener éxito haciendo algo;
contend with;;;;contienda con / tratar problemas con…;
put up with;;;tolerar;tolerar;
face up to;;;;Aceptar que algo malo existe;
look down on;;;;pensar que alguien no es lo suficientemente importante o bueno para ti;
get on with;;;;te gusta alguien y disfrutas pasando tiempo con el;
catch up on;(some sleep);;;ponerse al dia en / some sleep => ir a dormir;
knock down;;;destruir;;
